,pid,firstName,lastName,season,hgt,stre,spd,jmp,endu,ins,dnk,ft,fg,tp,diq,oiq,drb,pss,reb,pos,fuzz,skills,ovr,pot,age,tid,gp,gs,min,usgp,ortg,drtg,obpm,dbpm,ows,dws,vorp,ewa,salary
10,1,Julius,Randle,2022,61,67,62,64,67,80,87,48,40,52,40,61,47,51,82,PF,1.0409938392394966,"['A', 'Po', 'R', 'V']",64,64,27,19,72,72,2544,28.7,102,110,0.4,0.1,-0.2,3.3,1.6,5.4,
11,1,Julius,Randle,2023,56,71,62,55,99,72,93,52,78,52,37,69,60,45,91,PF,1.0409938392394966,"['Po', 'R', 'V']",67,67,28,19,77,77,2737,29.5,117,114,3.9,-0.2,5.0,3.1,3.9,12.0,
12,1,Julius,Randle,2024,56,50,62,45,99,70,95,48,79,48,37,72,60,46,96,PF,1.0409938392394966,"['Po', 'R', 'V']",65,65,29,19,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30300
13,2,Rudy,Gobert,2014,80,61,58,75,44,72,73,3,33,0,55,27,16,39,77,C,3.501927115586707,"['A', 'Di', 'Dp', 'Po', 'R']",53,68,21,28,45,0,434,14.2,94,104,-3.6,0.9,-0.2,0.6,-0.1,0.5,
14,2,Rudy,Gobert,2015,80,65,58,75,54,72,73,3,33,0,55,31,16,39,80,C,3.501927115586707,"['A', 'Di', 'Dp', 'Po', 'R']",55,69,22,28,82,37,2158,14,122,98,1.7,2.5,5.0,4.3,3.4,11.8,
15,2,Rudy,Gobert,2016,80,69,58,75,64,72,73,3,33,0,60,31,16,39,82,C,3.501927115586707,"['A', 'Di', 'Dp', 'Po', 'R']",57,68,23,28,61,60,1932,14.2,112,99,0.0,2.2,2.6,3.8,2.0,6.6,
16,2,Rudy,Gobert,2017,80,70,61,87,74,85,90,18,33,0,61,31,16,39,93,C,3.501927115586707,"['A', 'Di', 'Dp', 'Po', 'R']",61,65,24,28,81,81,2744,16.7,129,99,2.2,2.2,8.3,6.0,4.4,17.4,
17,2,Rudy,Gobert,2018,80,70,53,87,83,83,85,43,33,0,62,48,58,45,83,C,3.501927115586707,"['A', 'Di', 'Dp', 'Po', 'R']",67,69,25,28,56,56,1816,16.9,122,99,0.9,2.5,4.2,3.9,2.5,9.1,
18,2,Rudy,Gobert,2019,80,70,39,50,71,78,88,32,33,0,66,60,68,38,93,C,3.501927115586707,"['Di', 'Po', 'R']",65,65,26,28,81,80,2577,17.8,133,100,3.0,2.5,8.7,5.7,4.8,17.9,
19,2,Rudy,Gobert,2020,80,70,30,49,73,86,88,32,33,0,65,60,58,37,92,C,3.501927115586707,"['Di', 'Po', 'R']",62,63,27,28,68,68,2333,16.2,130,104,1.7,1.9,6.5,4.2,3.3,12.4,
20,2,Rudy,Gobert,2021,80,70,30,49,73,86,88,18,33,0,65,60,58,37,92,C,3.501927115586707,"['Di', 'Po', 'R']",62,62,28,28,71,71,2187,17,131,101,2.0,2.5,6.1,5.2,3.6,14.0,
21,2,Rudy,Gobert,2022,80,77,30,49,82,92,91,18,38,0,72,75,58,37,92,C,3.501927115586707,"['Di', 'Po', 'R', 'V']",68,68,29,28,66,66,2120,16.9,137,103,2.9,1.7,7.3,4.3,3.6,14.9,
22,2,Rudy,Gobert,2023,80,91,35,38,39,70,98,37,16,0,60,72,35,39,80,C,3.501927115586707,"['Di', 'Po', 'R']",61,61,30,17,70,70,2148,16.3,127,109,0.0,0.6,4.3,3.5,1.4,8.9,
23,2,Rudy,Gobert,2024,80,96,35,54,70,69,98,37,16,0,62,72,35,39,87,C,3.501927115586707,"['A', 'Di', 'Po', 'R']",66,66,31,17,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,43800
24,3,Myles,Turner,2016,64,68,47,62,59,76,68,53,62,15,50,49,12,22,61,C,2.17944483624919,"['Di', 'Po', 'R']",53,70,20,11,60,30,1367,20.9,103,101,-2.2,0.6,0.8,2.3,0.1,3.3,
25,3,Myles,Turner,2017,64,72,59,74,85,78,81,65,73,35,53,55,15,32,55,C,2.17944483624919,"['A', 'Di', 'Dp', 'Po', 'V']",63,75,21,11,81,81,2541,19.5,115,105,-0.1,1.1,4.3,3.7,2.0,10.0,
26,3,Myles,Turner,2018,64,72,59,74,85,78,81,65,73,41,55,60,22,40,55,C,2.17944483624919,"['A', 'Di', 'Dp', 'Po', 'V']",66,77,22,11,65,62,1836,20,110,106,-0.6,0.4,2.2,2.5,0.8,5.5,
27,3,Myles,Turner,2019,64,72,50,70,74,78,81,65,73,41,55,60,22,40,55,C,2.17944483624919,"['A', 'Di', 'Po', 'V']",64,70,23,11,74,74,2119,20,110,101,0.0,2.4,1.9,4.4,2.4,7.8,
28,3,Myles,Turner,2020,66,72,42,70,63,72,77,50,66,52,53,57,33,40,60,C,2.17944483624919,"['A', 'Di', 'Po', 'R', 'V']",62,66,24,11,62,62,1826,17.9,108,105,-1.0,1.1,1.1,3.1,1.0,3.8,
29,3,Myles,Turner,2021,68,63,40,79,63,62,70,50,61,52,60,57,33,40,53,C,2.17944483624919,"['A', 'Di', 'Po', 'R']",63,69,25,11,47,47,1455,16.4,112,108,-1.3,1.7,1.1,2.2,0.9,3.4,
30,3,Myles,Turner,2022,70,63,40,85,65,67,70,50,61,52,60,61,33,40,62,C,2.17944483624919,"['A', 'Di', 'Po', 'R', 'V']",65,65,26,11,42,42,1235,17.1,118,111,0.1,1.4,1.7,1.4,1.1,4.2,
31,3,Myles,Turner,2023,70,63,40,86,65,46,88,52,48,62,57,60,33,40,62,C,2.17944483624919,"['3', 'A', 'Di', 'R']",65,65,27,11,62,62,1825,22,121,114,1.4,0.7,3.4,2.0,1.9,8.5,
32,3,Myles,Turner,2024,70,60,44,70,70,46,94,53,76,58,50,62,43,41,62,C,2.17944483624919,"['3', 'Di', 'R', 'V']",65,66,28,11,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,20500
33,4,Yohan,Traore,2025,60,57,42,41,38,60,60,33,31,20,38,25,30,24,62,C,2.60892229619131,[],34,55,22,,,,,,,,,,,,,,
34,5,Draymond,Green,2013,52,49,54,50,23,49,50,55,42,31,52,43,32,38,46,PF,0.890738171646923,[],45,56,23,9,79,1,1061,14,87,102,-5.0,1.4,-0.9,1.6,-0.4,-1.8,
35,5,Draymond,Green,2014,52,59,54,50,42,48,50,35,43,51,57,47,32,38,46,PF,0.890738171646923,[],54,63,24,9,82,12,1797,14.8,102,98,-1.7,3.6,0.7,3.8,1.8,2.0,
36,5,Draymond,Green,2015,52,79,66,56,69,52,50,35,44,52,67,56,32,58,66,PF,0.890738171646923,"['A', 'Di', 'Dp']",66,68,25,9,79,79,2490,17.2,110,97,0.7,2.8,3.3,5.2,3.5,6.1,
37,5,Draymond,Green,2016,52,80,62,67,72,52,46,28,47,50,67,57,42,77,93,PF,0.890738171646923,"['A', 'Di', 'Dp', 'Ps', 'R']",68,69,26,9,81,81,2808,18.8,115,100,2.6,2.9,6.0,5.1,5.3,10.9,
38,5,Draymond,Green,2017,52,82,64,67,74,51,46,34,45,48,67,57,46,74,93,PF,0.890738171646923,"['A', 'Di', 'Dp', 'Ps', 'R']",69,69,27,9,76,76,2471,16.2,111,99,1.0,3.9,2.8,5.4,4.3,6.1,
39,5,Draymond,Green,2018,52,83,61,63,74,51,51,54,45,47,67,57,46,78,73,PF,0.890738171646923,"['A', 'Di', 'Dp', 'Ps', 'R']",69,69,28,9,70,70,2287,17.2,110,105,0.9,1.9,2.6,3.4,2.8,5.2,
40,5,Draymond,Green,2019,52,81,63,67,72,32,51,54,42,34,57,56,46,80,75,PF,0.890738171646923,"['A', 'Di', 'Dp', 'Ps', 'R']",66,66,29,9,66,66,2065,13.1,108,106,-1.3,2.7,1.1,3.2,1.8,1.4,
41,5,Draymond,Green,2020,52,80,55,58,60,32,51,52,38,37,53,54,46,60,63,PF,0.890738171646923,['Di'],60,60,30,9,43,43,1222,15.7,100,110,-2.1,1.9,-0.2,1.3,0.6,0.6,
42,5,Draymond,Green,2021,52,80,55,58,60,32,50,52,37,34,53,53,46,77,60,PF,0.890738171646923,"['Di', 'Ps']",61,61,31,9,63,63,1982,13.1,110,106,-1.7,3.3,1.2,3.4,1.8,2.8,
43,5,Draymond,Green,2022,52,80,55,58,68,52,57,23,37,34,64,55,43,72,74,PF,0.890738171646923,"['Di', 'R']",63,63,32,9,46,44,1329,14.3,109,103,-1.4,4.6,0.8,2.8,1.8,1.9,
44,5,Draymond,Green,2023,55,80,45,52,68,58,61,39,32,40,73,55,38,78,68,PF,0.890738171646923,"['Di', 'Ps', 'R']",65,65,33,9,73,73,2297,13.2,114,112,-1.8,2.6,1.6,3.1,1.6,0.8,
45,5,Draymond,Green,2024,55,74,35,44,25,60,58,41,40,46,71,57,38,80,68,PF,0.890738171646923,"['Di', 'Ps', 'R']",60,60,34,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,25000
46,6,Lauri,Markkanen,2018,61,62,60,57,69,57,64,65,62,65,34,49,42,59,62,F,2.3501798745284845,['3'],61,74,21,4,68,68,2020,21.9,107,110,1.0,-1.2,1.7,1.6,0.9,4.2,
47,6,Lauri,Markkanen,2019,61,68,51,54,60,65,74,70,62,65,34,49,42,44,69,F,2.3501798745284845,"['3', 'Po', 'R', 'V']",59,70,22,4,52,51,1682,25.1,107,112,1.4,-1.5,1.3,1.5,0.7,4.7,
48,6,Lauri,Markkanen,2020,61,68,51,52,60,60,70,63,66,62,34,56,42,48,50,F,2.3501798745284845,"['3', 'Po', 'V']",59,70,23,4,50,50,1492,21.1,108,110,0.2,-0.8,1.0,1.6,0.5,2.1,
49,6,Lauri,Markkanen,2021,61,68,51,52,60,60,70,63,66,62,32,56,42,48,50,F,2.3501798745284845,"['3', 'Po', 'V']",59,67,24,4,51,26,1317,20.2,115,113,1.3,-1.3,1.7,1.3,0.7,2.4,
50,6,Lauri,Markkanen,2022,61,61,52,56,68,60,79,63,56,43,32,62,42,48,57,F,2.3501798745284845,['Po'],59,61,25,5,61,61,1878,19.5,117,110,0.4,-0.1,2.7,2.3,1.1,3.0,
51,6,Lauri,Markkanen,2023,61,58,59,41,68,55,91,65,92,64,42,72,50,41,73,F,2.3501798745284845,"['3', 'Po', 'R', 'V']",65,65,26,28,66,66,2273,26.6,125,116,4.9,-1.0,6.3,1.9,3.3,13.1,
52,6,Lauri,Markkanen,2024,61,62,63,51,60,52,97,70,79,69,40,69,55,38,79,F,2.3501798745284845,"['3', 'R', 'V']",66,67,27,28,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17700
53,7,Lonzo,Ball,2018,47,31,69,66,67,25,64,0,19,62,54,49,70,62,78,PG,-2.943311843753686,[],60,78,20,13,52,50,1780,17.4,97,106,-0.7,1.6,-0.5,2.5,1.3,1.4,
54,7,Lonzo,Ball,2019,47,33,57,59,52,25,64,0,29,62,59,42,60,79,78,PG,-2.943311843753686,[],58,70,21,13,47,45,1423,16.9,100,109,-1.6,1.3,-0.2,1.7,0.6,0.5,
55,7,Lonzo,Ball,2020,47,26,58,59,51,35,64,0,45,64,59,59,62,69,72,PG,-2.943311843753686,['3'],60,73,22,18,63,54,2025,18.5,103,111,0.1,0.6,0.4,2.0,1.3,2.1,
56,7,Lonzo,Ball,2021,47,26,58,59,46,35,64,55,45,71,59,59,62,61,72,PG,-2.943311843753686,['3'],61,71,23,18,55,55,1747,20.5,110,113,1.4,0.2,1.5,1.7,1.6,4.0,
57,7,Lonzo,Ball,2022,47,26,58,59,46,35,64,55,45,71,62,59,60,60,62,PG,-2.943311843753686,['3'],61,68,24,4,35,35,1212,17.4,109,111,0.9,1.5,0.8,1.4,1.4,2.1,
58,7,Lonzo,Ball,2023,47,26,58,59,46,35,64,55,45,71,62,59,60,60,62,PG,-2.943311843753686,['3'],61,65,25,,,,,,,,,,,,,,
59,7,Lonzo,Ball,2024,47,44,46,48,30,53,10,55,60,77,70,65,41,57,56,PG,-2.943311843753686,['3'],59,59,26,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,20900
60,8,Jalen,Duren,2023,67,60,53,60,52,47,69,35,42,10,44,45,33,28,70,C,-2.2064763054094527,['R'],51,70,19,8,67,31,1670,14.3,126,116,-0.4,-0.4,2.9,1.6,0.5,5.6,
61,8,Jalen,Duren,2024,67,85,51,50,37,51,69,30,45,10,44,57,38,43,87,C,-2.2064763054094527,"['Di', 'Po', 'R']",56,70,20,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5100
62,9,Ben,Simmons,2018,60,62,78,70,67,62,67,22,60,3,46,55,67,75,69,PG,-4.5456713349713915,"['A', 'Dp', 'Ps']",64,79,21,22,81,81,2732,22.3,111,102,2.0,2.5,4.2,5.0,4.5,12.3,
63,9,Ben,Simmons,2019,60,62,73,48,63,58,74,22,70,5,48,60,62,73,77,PG,-4.5456713349713915,['R'],63,72,22,22,79,79,2700,22.1,114,108,2.2,1.3,4.6,3.6,3.8,12.2,
64,9,Ben,Simmons,2020,60,62,72,50,66,75,85,29,45,5,49,65,62,73,82,PG,-4.5456713349713915,"['Po', 'Ps', 'R']",64,74,23,22,57,57,2017,20.9,116,106,1.3,2.3,3.8,3.1,2.8,9.4,
65,9,Ben,Simmons,2021,60,62,72,50,66,65,85,29,43,5,49,60,62,73,82,PG,-4.5456713349713915,['R'],63,70,24,22,58,58,1877,20.2,114,106,0.8,1.9,2.7,3.3,2.2,6.8,
66,9,Ben,Simmons,2022,60,55,72,50,66,65,85,29,43,3,49,60,62,73,82,PG,-4.5456713349713915,['R'],63,67,25,,,,,,,,,,,,,,
67,9,Ben,Simmons,2023,60,50,75,45,25,55,50,29,36,3,63,57,60,63,70,PG,-4.5456713349713915,[],59,61,26,2,42,33,1105,14.3,110,110,-2.2,2.6,0.5,1.7,0.7,1.3,
68,9,Ben,Simmons,2024,60,50,57,43,46,52,35,18,46,3,69,59,50,64,75,PG,-4.5456713349713915,['R'],58,60,27,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,39100
69,10,Luka,Doncic,2019,52,36,56,51,55,46,72,46,73,65,45,70,66,62,58,G,-2.4563301763237666,['3'],62,76,20,6,72,72,2318,30.5,107,109,3.6,0.3,2.1,2.8,3.4,10.5,
70,10,Luka,Doncic,2020,52,52,60,54,77,90,96,60,93,62,47,79,66,72,90,G,-2.4563301763237666,"['3', 'Po', 'Ps', 'R', 'V']",70,80,21,6,61,61,2047,36.8,116,110,7.4,1.0,6.5,2.3,5.4,16.9,
71,10,Luka,Doncic,2021,52,52,60,54,73,82,93,60,86,62,47,79,66,70,93,G,-2.4563301763237666,"['3', 'Po', 'Ps', 'R', 'V']",70,79,22,6,66,66,2262,36,114,111,6.1,0.6,5.1,2.6,5.0,16.1,
72,10,Luka,Doncic,2022,52,52,60,54,71,72,94,60,86,62,50,79,66,61,83,G,-2.4563301763237666,"['3', 'Ps', 'R', 'V']",69,76,23,6,65,65,2301,37.4,110,107,6.4,1.8,3.8,3.8,5.9,16.1,
73,10,Luka,Doncic,2023,52,47,74,63,80,92,99,50,95,55,44,77,78,55,78,G,-2.4563301763237666,"['B', 'Po', 'Ps', 'R', 'V']",71,75,24,6,66,66,2391,37.6,120,113,7.6,1.4,7.3,2.9,6.6,21.1,
74,10,Luka,Doncic,2024,52,47,74,60,70,90,99,48,98,54,47,80,78,56,78,G,-2.4563301763237666,"['B', 'Po', 'Ps', 'R', 'V']",71,74,25,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,44500
75,11,Alperen,Sengun,2022,59,53,54,34,48,68,67,52,55,38,40,52,50,55,65,C,0.05839214557744498,[],55,76,19,10,72,13,1489,22,107,113,-1.6,0.6,0.8,1.3,0.4,4.0,
76,11,Alperen,Sengun,2023,59,50,44,58,48,60,90,49,59,25,45,53,50,51,75,C,0.05839214557744498,['R'],55,72,20,10,75,72,2171,21.4,118,117,1.1,0.4,3.4,1.8,1.9,9.8,
77,11,Alperen,Sengun,2024,59,74,44,52,50,82,81,46,88,35,55,79,45,57,78,C,0.05839214557744498,"['Di', 'Po', 'R', 'V']",65,76,21,10,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4500
78,12,Zaccharie,Risacher,2024,52,39,54,45,35,39,56,41,59,55,39,41,48,39,48,SF,-2.2302033614475465,[],45,73,19,,,,,,,,,,,,,,
79,13,Jamal,Murray,2017,36,43,65,62,42,39,66,60,64,75,40,50,58,56,37,G,-0.37589287976687,['3'],56,71,20,7,82,10,1764,21.6,103,114,-0.6,-1.4,0.6,0.7,0.0,1.3,
80,13,Jamal,Murray,2018,36,43,68,72,58,42,82,60,75,66,44,55,64,66,52,G,-0.37589287976687,"['3', 'V']",61,75,21,7,81,80,2565,22.8,112,113,1.2,-1.5,4.3,1.2,1.1,6.6,
81,13,Jamal,Murray,2019,36,45,65,68,60,62,88,66,84,66,44,55,64,69,59,G,-0.37589287976687,"['3', 'Ps', 'V']",61,72,22,7,75,74,2447,24.9,110,111,1.4,-0.8,2.8,2.3,1.6,6.2,
82,13,Jamal,Murray,2020,36,45,65,68,62,66,88,66,87,60,44,61,66,65,70,G,-0.37589287976687,"['3', 'Ps', 'V']",62,71,23,7,59,59,1904,25.2,112,113,2.0,-0.8,2.8,1.5,1.5,6.4,
83,13,Jamal,Murray,2021,36,45,65,68,62,66,88,66,87,60,44,61,66,65,70,G,-0.37589287976687,"['3', 'Ps', 'V']",62,70,24,7,48,48,1704,24.8,116,114,2.7,-1.0,3.1,1.5,1.6,6.2,
84,13,Jamal,Murray,2022,36,45,65,68,62,66,88,66,87,60,44,61,66,65,70,G,-0.37589287976687,"['3', 'Ps', 'V']",62,68,25,,,,,,,,,,,,,,
85,13,Jamal,Murray,2023,36,49,67,68,75,63,80,66,90,60,46,67,72,58,72,G,-0.37589287976687,"['3', 'B', 'Ps', 'V']",65,67,26,7,65,65,2133,26.1,116,116,2.6,-1.3,3.3,1.9,1.8,7.4,
86,13,Jamal,Murray,2024,36,49,67,68,75,63,75,70,95,60,46,67,72,58,72,G,-0.37589287976687,"['3', 'B', 'Ps', 'V']",65,65,27,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,34900
87,14,Jayson,Tatum,2018,57,46,73,77,74,58,72,65,66,71,45,60,58,34,63,F,-2.886218485905028,"['3', 'V']",66,82,20,1,80,80,2438,19.5,111,103,0.0,1.2,3.0,4.0,2.0,5.8,
88,14,Jayson,Tatum,2019,57,46,62,75,60,58,72,65,66,71,45,60,58,34,63,F,-2.886218485905028,['3'],63,76,21,1,79,79,2455,22.1,107,107,-0.4,0.2,1.6,3.4,1.1,5.7,
89,14,Jayson,Tatum,2020,57,56,66,72,74,68,85,65,73,75,45,73,58,48,77,F,-2.886218485905028,"['3', 'R', 'V']",70,78,22,1,66,66,2265,28.6,111,106,3.5,0.6,3.2,3.7,3.4,10.6,
90,14,Jayson,Tatum,2021,57,56,70,68,77,68,85,65,73,71,47,73,58,54,73,F,-2.886218485905028,"['3', 'R', 'V']",71,78,23,1,64,64,2290,30.8,114,112,4.1,-0.4,4.1,2.5,3.3,12.3,
91,14,Jayson,Tatum,2022,57,56,70,68,83,83,84,65,77,64,42,75,58,50,86,F,-2.886218485905028,"['3', 'Po', 'R', 'V']",70,76,24,1,76,76,2731,32.1,113,106,4.3,0.6,5.0,4.6,4.8,15.4,
92,14,Jayson,Tatum,2023,57,56,70,70,80,82,94,68,90,58,47,82,60,45,79,F,-2.886218485905028,"['Po', 'R', 'V']",72,76,25,1,74,74,2732,32.7,118,110,4.8,0.7,6.2,4.3,5.1,16.6,
93,14,Jayson,Tatum,2024,57,56,70,62,65,82,94,68,90,58,47,84,60,47,80,F,-2.886218485905028,"['Po', 'R', 'V']",71,72,26,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,34800
94,15,Bojan,Bogdanovic,2015,52,20,59,49,41,38,85,61,62,67,37,49,60,25,27,F,-2.9196215045087213,['3'],50,51,26,2,78,28,1854,17.2,106,111,-0.3,-1.4,1.7,0.7,0.1,1.0,
95,15,Bojan,Bogdanovic,2016,52,20,59,49,46,38,85,64,62,67,37,53,60,25,27,F,-2.9196215045087213,['3'],52,54,27,2,79,39,2115,19.4,102,115,-1.0,-2.6,0.9,0.0,-0.8,0.2,
96,15,Bojan,Bogdanovic,2017,52,33,62,59,66,58,85,74,82,73,37,60,60,25,27,F,-2.9196215045087213,"['3', 'V']",59,59,28,2,55,54,1482,22.5,106,114,-0.5,-2.1,1.0,0.6,-0.2,1.8,
97,15,Bojan,Bogdanovic,2017,52,33,62,59,66,58,85,74,82,73,37,60,60,25,27,F,-2.9196215045087213,"['3', 'V']",59,59,28,29,26,0,601,22.2,113,113,0.8,-2.0,0.9,0.3,0.1,1.3,
98,15,Bojan,Bogdanovic,2018,52,33,62,52,66,58,85,68,82,73,43,60,60,37,41,F,-2.9196215045087213,"['3', 'V']",61,61,29,11,80,80,2464,19,114,112,0.5,-1.2,3.8,1.6,0.8,4.2,
99,15,Bojan,Bogdanovic,2019,52,33,53,44,51,58,85,68,82,73,43,60,60,37,41,F,-2.9196215045087213,"['3', 'V']",58,58,30,11,81,81,2573,22.4,114,110,1.3,-0.6,3.9,2.8,1.7,7.2,
100,15,Bojan,Bogdanovic,2020,52,40,55,45,55,65,87,75,84,75,49,64,60,40,53,F,-2.9196215045087213,"['3', 'V']",62,62,31,28,63,63,2083,25.5,111,113,1.6,-1.5,2.6,1.6,1.1,5.3,
101,15,Bojan,Bogdanovic,2021,52,48,55,45,65,45,72,75,74,72,39,67,59,36,51,F,-2.9196215045087213,['3'],60,60,32,28,72,72,2216,22.8,113,112,0.1,-0.9,2.7,2.5,0.7,3.9,
102,15,Bojan,Bogdanovic,2022,52,50,56,45,69,59,82,75,88,75,39,70,59,29,60,F,-2.9196215045087213,"['3', 'V']",62,62,33,28,69,69,2131,23.7,116,115,1.6,-1.6,3.6,1.6,1.1,4.5,
103,15,Bojan,Bogdanovic,2023,52,50,51,38,68,64,80,70,44,75,39,73,40,40,60,F,-2.9196215045087213,['3'],60,60,34,8,59,59,1893,25.9,118,122,2.6,-1.8,3.1,0.4,1.4,5.6,
104,15,Bojan,Bogdanovic,2024,52,49,50,37,67,63,78,70,57,68,37,71,39,39,52,F,-2.9196215045087213,['3'],58,58,35,19,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,19500
105,16,DeMar,DeRozan,2010,50,52,63,62,44,58,67,52,46,24,35,48,51,44,49,F,-2.811308274804009,[],50,66,20,27,77,65,1664,18.1,110,115,-1.5,-1.3,2.0,0.3,-0.3,1.7,
106,16,DeMar,DeRozan,2011,50,54,63,63,75,64,68,60,54,19,42,52,50,41,50,F,-2.811308274804009,[],56,70,21,27,82,82,2851,23.2,106,115,-0.9,-1.5,2.8,0.5,-0.3,5.7,
107,16,DeMar,DeRozan,2012,50,56,63,63,80,63,67,60,57,29,49,41,50,42,49,F,-2.811308274804009,[],57,68,22,27,63,63,2206,25,100,108,-1.4,-1.3,1.1,1.4,-0.4,2.5,
108,16,DeMar,DeRozan,2013,50,58,64,63,82,63,67,63,57,29,49,41,50,42,49,F,-2.811308274804009,[],58,68,23,27,82,82,3013,24.2,105,110,-0.2,-1.2,3.1,1.6,0.4,6.3,
109,16,DeMar,DeRozan,2014,50,60,78,59,87,78,84,62,75,38,43,54,58,60,42,F,-2.811308274804009,['V'],65,73,24,27,79,79,3017,28,110,107,1.9,-0.3,5.8,3.0,2.8,11.9,
110,16,DeMar,DeRozan,2015,50,60,75,85,89,81,90,64,80,34,43,54,64,52,45,F,-2.811308274804009,"['A', 'Dp', 'Po', 'V']",66,69,25,27,60,60,2100,28.4,104,109,0.5,-1.4,2.6,1.4,0.6,7.2,
111,16,DeMar,DeRozan,2016,50,60,75,85,89,81,90,66,80,44,43,54,64,52,45,F,-2.811308274804009,"['A', 'Dp', 'Po', 'V']",67,67,26,27,78,78,2804,29.8,113,108,3.2,-0.7,7.5,2.4,3.2,15.3,
112,16,DeMar,DeRozan,2017,50,58,75,85,86,90,95,65,90,45,43,54,70,52,45,F,-2.811308274804009,"['A', 'B', 'Dp', 'Po', 'V']",67,67,27,27,74,74,2620,34.3,113,110,4.1,-1.0,6.7,2.4,3.3,17.6,
113,16,DeMar,DeRozan,2018,50,59,76,85,83,80,87,64,87,54,43,54,76,52,42,F,-2.811308274804009,"['A', 'B', 'Dp', 'Po', 'V']",68,68,28,27,80,80,2711,29.6,114,109,3.3,-0.6,6.8,2.8,3.2,14.2,
114,16,DeMar,DeRozan,2019,50,59,76,80,75,76,93,64,89,29,34,65,74,54,54,F,-2.811308274804009,"['A', 'B', 'Po', 'V']",65,65,29,26,77,77,2688,27.9,110,111,1.0,0.1,3.6,2.6,2.2,12.2,
115,16,DeMar,DeRozan,2020,50,59,76,70,75,75,87,64,92,31,29,57,74,56,65,F,-2.811308274804009,"['B', 'V']",63,63,30,26,68,68,2316,26.3,118,115,2.3,-0.4,5.9,1.3,2.3,12.8,
